employee_id,name,phone_num,job_role,salary,account_num,hours_week
11,Brandon Bauer,+1-634-451-7627,forklift_operator,1447.01,gAAAAABn77qQJ4xpigYMrVeXU1V2LFLwRRL2Mcduou4ETrpW_JmQ3qKep5hZVwsPG2EE46EnmFw5TwqUqKSaKx-jjXsMEL9wcQ==,43
12,Heather Johnson,+1-670-109-7537,forklift_operator,4864.44,gAAAAABn77qQn1L9qVnsyHMNrpd5i6dZRc8gkJ_MjZY4M41AeiAZX47rK4S64gpQS10PDKRNELwl86bhxsuLsacU4Ktroc2ldw==,35
13,Amanda Scott,+1-899-161-1505,forklift_operator,6269.75,gAAAAABn77qQTAbmp8aLHywgDog_f6veHTE1SaDTl67TBX5eQiy81174n1L42ImCMDTlbEmlHiXtv89tEmLy_SX2-SJSI9YrGw==,31
14,Crystal Diaz,+1-303-203-2622,forklift_operator,4045.76,gAAAAABn77qQawx-8vYR1V7DnLKEV3m95PRi0tZO22VO8t-NASsyd2A5TISYa1ZEY4uD0s8CHzW75teV-V5ST74-IX72mb1v2g==,38
15,Paul Carter,+1-029-375-1418,forklift_operator,5532.78,gAAAAABn77qQRNT-JJrVazwUQ8XECLapz_t2ZfP4Yg_8NiAUa7ood0RSO7mSdevUjJSmjJ96bNn6Oyu8et8mwAVE_Fglf-0Aog==,48
16,Cathy Fisher,+1-375-148-4689,warehouse_worker,9154.95,gAAAAABn77qQPW25bpoQ6CEaPQM1tdLlBRfsfTI87dGfCEl-9VoJbZeBGhceIN08zDuX1gU8HAL9ZTTeZI1gVtbPdfVkMkj2MA==,42
17,Heather Savage,+1-910-298-1669,warehouse_worker,8112.21,gAAAAABn77qQG2L-DQrI71-VaecIfRNBX-Sz1Aw7gkwhHAIpL-S8SqZNyrtolbpPWEr4Z0Ib3Pl6wW3chWrSGmghxR9cLc4ZJw==,28
18,Heather Kennedy,+1-377-608-3167,warehouse_worker,8652.09,gAAAAABn77qQnNTnd7xN2-6SaRwNgdwpLgbJyvLAWTg1ytFyi9HE6L7_nIQ1haZiiKKdUSMFvwAyR20cTiaQc5nN2GN_eI3buQ==,40
19,Matthew Mcdaniel,+1-728-906-5670,warehouse_worker,10230.29,gAAAAABn77qQNcLQ5Qtyy0KNSCRjOiW_rsS6X3rSIDMfKuouQfPvyJZIUJReuwdtVUNRaW380ksQZS8CszRnVeo2Wsc9WRIUWA==,47
20,Katherine Padilla,+1-540-373-5138,warehouse_worker,8612.67,gAAAAABn77qQxJnfdoQVmI_gxVzgOZG1acP84rmiyLkeFYACXBm65z1z8rW6eYZhz0ddyS6KtsxDYKHUhFzhGmJB4XZmi-tzhw==,38
21,Nicholas Turner,+1-475-111-7324,warehouse_worker,7951.45,gAAAAABn77qQSA9CNStuypWHnocXc9cyerE8PnFjklue6GRLCTO5DCgVucu82vxWzGEMINCW8fFCyBoJ6BO6l08lp4u0CgTyRw==,31
22,Steven Bishop,+1-478-408-8453,warehouse_worker,7293.73,gAAAAABn77qQaLeR7Pecp1C4OCsh_5kXP_U2TT2HgcZvk-Q34BJvOl3VOE_kbasYrEOD1LbyGkKohyj-cm8O4sXwkMYIohB7bw==,51
23,Breanna Smith,+1-590-659-2778,warehouse_worker,8490.35,gAAAAABn77qQfEO4FUEocxSZwLLXVX_KMxxvE07z32gPWRFFh9AZiEZ67SsUtbhAui-mAfOWyKYPgiILqYnHw-ceYAQzTRSdqw==,37
24,James Lee,+1-460-802-2376,warehouse_worker,7747.2,gAAAAABn77qQ-wtEKFgGxCqHRze8w3PVAfCPMrWeWmDEuFl1S7q_SJIi62VQa4egzHPbAA0c-jDG8jZ4rM3g2yW9Caos6vyLSA==,44
25,Gary Hatfield,+1-606-821-2990,warehouse_worker,7386.1,gAAAAABn77qQHr1G8CKlFODEF1mBfLxmkuYaGSTQbHk4c9WogB74AEaBJKq6Wrz69F_9zDPwlVZGvJJN8b5hrrMhgVLVmSHPKg==,38
26,Timothy Johnson,+1-542-870-0494,warehouse_worker,8104.53,gAAAAABn77qQXUHOSiqrvVVrK9teXdBWF4wHPiMlD_LIJ7P7_s4zIhi_ZNu_zW48bMQZsNYJ4k_o8g4zWrnTZIHS3UL1oA_Jlg==,42
27,William Bonilla,+1-195-457-9318,warehouse_worker,8489.19,gAAAAABn77qQvunuw6tU_Tb0WMaZvIE9IM9bQuIVHk8z8c_7Hy9IU75xVoLx1Twn6GEQOtofrEjRsvTnP_5KIbAFO41IdLHDVw==,32
28,Amy Fowler,+1-889-208-3570,warehouse_worker,8971.82,gAAAAABn77qQ6fk8RR2pLiB4ncRhrq-hHYbpACfxOI4r3wZlIw-297LKAGt6UCT7u9exAIdCBDqE_Xzq3n31sHUO45J040rl9Q==,42
29,Tony House,+1-973-514-2945,warehouse_worker,9066.52,gAAAAABn77qQMkMLb_tojbq4hP4t7kCb4Gh2dSXeDZ_6RduAfRJFZ4cnDhzm2grKV1ehnaFwmAs-B4vEQ39Ur51RA3MI9IYOVA==,41
30,Brandy Miller,+1-501-264-1824,warehouse_worker,8365.68,gAAAAABn77qQ7snl2jthL_amVAF_PGTRVxaeLijxp03eF9lh_9om2cP8EPkoII5kqr5PLAjvYy-0qKvWKaltzGzmfY5-xIg4yg==,37
31,Dawn Green,+1-278-527-5685,admin,4327.54,gAAAAABn77qQO-37R3q9vAy2N1uFzaFyA3BIOZ_vb2WKielwpMxT9z8gE11fLS7sUYJYbkOa5REa_IIP9HjOtzW81JnPecrPNw==,37
32,Catherine Martinez,+1-930-944-5026,admin,4186.85,gAAAAABn77qQq34Ar0oM8Z5zRxMf0G-qzKcHd-x5jhrcnzru5gn6bhdCgYZW68T5AdKLMc9nEepKB_GkvY241jw69jh0OSwENQ==,29
33,Julian Savage,+1-710-400-0334,security,3177.43,gAAAAABn77qQGlakMfOa7qz3_wfwGGkjxLBEAfmvPz7XIdu3Ncn3Z-NpCBcAiJFERwhjT1z5VNzD0hFNdEWU5oMwIbDWyUcNqA==,37
34,Christopher Fisher,+1-926-019-6126,security,1369.8,gAAAAABn77qQ_c67qvH9ZIqm42qCPJkYjaL-ecZAiLQNnbRpF4HJSSG6l7FwF1psoJ2dawQZnkkQgA1HWOHuXIcM8rWBXOcwLQ==,42
35,Jeffrey Ruiz,+1-637-956-2576,security,2092.7,gAAAAABn77qQmA5BsTStjRpeeeuktICNaUV3MnfdbUTtrCftbxxpoUGHcVbrJZUm9Gck0uKNAg7px5qXxrNrrCcuq8hGPIno0w==,40
36,Ashley Richardson,+1-578-635-8822,security,3729.09,gAAAAABn77qQGm7OUT7UlRf1vMFGfX7tVYdNMytF7r_8rjqdAfoZiQ7TiaC_r2oCBIWQx64t09re8KHqbpvSWthbdTILt-qoCQ==,40
37,Joseph Fuentes,+1-945-678-9261,security,4139.4,gAAAAABn77qQydKMB_51o8hyF6drHM-qKE-SrzJZo2MWuvW9RBHnCyfJZcRQvNZijQKn88tobEroveFIGBftNQUfQn2FhkEqoA==,32
38,Ruth Castillo,+1-759-376-8707,cleaning,7402.34,gAAAAABn77qQKhdYDbcitkVNsMhKY7HfeQPt-OOEE3AlXE7qF2AX65uL2AyzzYB1vfeheAo2UemAMDpu20GBGi7U_gzdYmG2zQ==,35
39,Katherine Newman,+1-423-147-6897,cleaning,6129.2,gAAAAABn77qQePPsiqMUGPFR5RByas_Oe7XtPehwxONrG6pl63pntunDGF4w76CauMjNZqbeEVH07N4efde5Eruy1HKcRxjeOg==,36
40,Richard Brennan,+1-337-562-5564,cleaning,6688.45,gAAAAABn77qQ6sdrVyebqge-3M94zvOambnnJ4uHDweX_KJjWs1KczkfsZ-rCrwANqcqAtwxOw3Ldl4F3KdPVCbR87tAEOstCw==,40
41,Karen Carter,+1-253-735-3521,cleaning,5834.85,gAAAAABn77qQtsQOL9nQC9i6l2HX0VBpW4CBF9UMCDCCP7SQofqfsba0of_U7SYCMWk64IZ58c2ahTt2EamZLV4a4aChzGrpuA==,45
42,Andrew Reyes,+1-219-670-1411,cleaning,7465.66,gAAAAABn77qQElbuaK1-iS9hTy78DTbZKvCMPoBJDTqNIhiNPebL3DRAa1Q1F6B-swzkAqVsirmxrZ8JKCwzPvzd_9NkVa64Eg==,30
43,Mary Gray,+1-368-646-6736,maintenance,8488.25,gAAAAABn77qQuUXI582PDBPOj03i-Xt-Dhadju5LNZfhE3KJa19VxdoQILlIU1qqsDiVhQJCvr0I-J4O-5TiTf-tWSnHJAT1hw==,51
44,Darren Campbell,+1-928-673-9793,maintenance,8178.78,gAAAAABn77qQYZlOcglMHHTUL5mrYblXZZChLk9d7xCeiLEm_lAdWajlWJQLtUJsCRwjB3GJYurRtNkZP-fyrSpwcMxSxhV_pw==,38
45,Taylor Bridges,+1-000-857-0063,maintenance,5929.25,gAAAAABn77qQgfDyBOfxdjbjRw0m1GwXPAvyGRQi-PPVrtu6Oa-M0ZHiYDv3yKsS98o6FF1BQ9dMC7pGwk9LEcXAJ5Nz4G0a4Q==,46
